"A","B","C","D","E","G","H","I","J","K","END"
"A1",0.0596287892979312,0.00254451753987732,0.0882327027540765,0.271996447422746,0.0090959888918022,0.111584330991581,0.124322312159617,0.0700515622971359,0.058112233263663,0.20443111538157,0
"B1",0.0243071732102212,0.144044069216869,0.130041874383512,0.125488200554817,0.0281751283703417,0.0919278614268307,0.376403121886078,0.0470185595901416,0.00281785634654481,0.0297761550146436,0
"C1",0.151483722373704,0.122930187156846,0.016091131526881,0.159136700289569,0.0184435988621271,0.0827153168029901,0.122892313074186,0.134005131818051,0.111122362552181,0.0811795355434648,0
"D1",0.0074779020452953,0.0209725346641393,0.205667968543859,0.0674892009456797,0.0623291297456087,0.0145409857926337,0.488750371202285,0.0778937519025934,0.0495325559347428,0.00534559922316272,0
"E1",0.204781635660844,0.0737705095727991,0.232243261521843,0.0370124666509732,0.0147467904338777,0.0851333870811477,0.0394346050648524,0.122797329786128,0.178156748354388,0.0119232658731463,0
"G1",0.0884784982458218,0.138157916079635,0.0795331135487696,0.112659739687002,0.189083641307696,0.0753445775370842,0.0480565985312471,0.0686817871498348,0.0205719626309814,0.179432165281928,0
"H1",0.233709022611726,0.0713499631240777,0.139484129846583,0.0622977252034286,0.106920098647712,0.0492230938875116,0.164001535214646,0.045073530009263,0.0395200314053362,0.0884208700497153,0
"I1",0.0223634128686913,0.149856312141769,0.156006829390531,0.190852127286143,0.104678146748266,0.180274256613204,0.0686669321897461,0.0283391156932586,0.0802928142828218,0.0186700527855687,0
"J1",0.0739253708094907,0.105632140630987,0.0519602076084374,0.261310021545081,0.00522558821355238,0.00601114003239972,0.172973762678003,0.0222856791792472,0.204575813405895,0.0961002758969063,0
"K1",0.147012785469539,0.0151108142039246,0.0314071723777585,0.0487613968746507,0.00138765074224579,0.0365376197268487,0.0277216202206231,0.00350883438462836,0.360072334186433,0.328479771813349,0
"A2",0.067050747025545,0.0409117483690252,0.176181253020888,0.18163746395469,0.211439734715251,0.0686923407799076,0.0268020334426361,0.156674629662391,0.0292266352253661,0.0413834138043002,0
