"A","B","C","D","E","G","H","I","J","K","END"
"A1",0.0835692295788273,0.0529559732212875,0.025347852449794,0.0918240513521967,0.14340172341761,0.0774795665423234,0.204105170382045,0.110361384432875,0.0153549156413232,0.195600132981717,0
"B1",0.175736578726801,0.067314948854909,0.000114085179451897,0.184836027394735,0.353402640974398,0.0890742704540948,0.000100060388684178,0.0309070275180356,0.0672635016606461,0.0312508588482449,0
"C1",0.0714407302483325,0.0518039259102029,0.0255671151605676,0.265587223466065,0.0627810864095393,0.18549648929325,0.0215061560665295,0.0653952273005169,0.242440799450172,0.00798124669482493,0
"D1",0.0117002310783487,0.0582404469839776,0.138768488563128,0.0378442164532985,0.0304652122235327,0.206355739300779,0.270769859596676,0.132962634485571,0.104055910705586,0.00883726060910238,0
"E1",0.167805999227735,0.150510687816397,0.0862618615934456,0.0148286771191971,0.0042850630173483,0.0334153977432788,0.231999968102307,0.121271581307825,0.0209403234594232,0.168680440613043,0
"G1",0.110384960056739,0.0336474555654114,0.00647645251296711,0.154029000809422,0.34759983835962,0.00710419370096158,0.0694375928695534,0.0147686763725255,0.191638898867265,0.0649129308855353,0
"H1",0.0202932739184637,0.0852482286172845,0.0431405543924045,0.118684535049751,0.416319028250233,0.000107028274858287,0.0341415362760984,0.0432539338360968,0.0755705264076654,0.163241354977144,0
"I1",0.140690024102345,0.0671966714287434,0.00563660163706939,0.407322003963722,0.123131761272038,0.0620405429250655,0.00860258982615797,0.106861414169359,0.0784184793628362,9.99113126644504e-05,0
"J1",0.0579463714619603,0.0120870262464025,0.0914624638683207,0.071175576499692,0.18537634405003,0.138215658874352,0.185851106418705,0.152626794913286,0.0534224511663987,0.0518362065008519,0
"K1",0.000100414701128218,0.0193442405148226,0.174986353006635,0.109216721828175,0.259470568126694,0.306354210107983,0.031095423854831,0.0528116915891642,0.00784051124360315,0.0387798650269643,0
"A2",0.0963850621455574,0.0860458538170396,0.230219737024614,0.040952777539166,0.0280012546911128,0.0671460810371955,0.0700162216502035,0.244591690998119,0.0958486193373306,0.0407927017596618,0
"B2",0.0460017292672893,0.291353488569882,0.182964814657406,0.0674591710902133,9.99951731266223e-05,0.0924245238758643,0.011649303019034,0.132161112000683,0.159449733234514,0.0164361291119884,0
"C2",0.391011993548489,0.0499659951459629,0.0558684891299281,0.012136450993022,0.287901903787608,0.000235991109387872,0.0219389110383164,0.0175901931616627,0.029810472290934,0.133539599794689,0
