"V1","V2"
6,0
9,7
15,10
0,9
16,15
10,7
7,10
10,7
15,6
0,8
25,23
9,11
6,9
14,9
21,12
33,25
13,11
10,5
6,25
10,13
18,12
6,0
32,38
21,7
7,4
30,29
6,5
0,8
11,8
18,34
6,8
17,15
8,9
25,29
8,10
6,4
11,8
21,11
6,0
0,6
33,14
17,13
12,28
7,0
12,23
9,6
0,6
10,17
0,8
8,3
19,16
0,6
16,9
23,21
11,9
9,8
21,6
13,8
6,0
6,0
15,14
38,41
30,26
10,8
6,24
30,13
15,18
13,4
0,7
14,26
21,20
13,0
0,7
7,9
17,4
6,5
15,12
4,7
16,6
14,5
11,4
11,12
13,9
8,0
13,8
30,23
18,14
0,9
10,0
23,22
8,0
14,12
0,7
13,12
20,14
15,11
14,24
18,5
10,3
12,7
